CMDLINE C:\Users\Joe\AppData\Local\Programs\Python\Python36-32\python.exe lab5.py
MEM 0.941406 1508479047.3246
MEM 11.085938 1508479047.4247
MEM 15.507812 1508479047.5257
MEM 28.492188 1508479047.6262
MEM 36.433594 1508479047.7263
MEM 42.273438 1508479047.8271
MEM 46.960938 1508479047.9273
MEM 49.109375 1508479048.0273
MEM 52.363281 1508479048.1277
MEM 52.566406 1508479048.2283
MEM 52.566406 1508479048.3287
MEM 52.566406 1508479048.4296
MEM 52.566406 1508479048.5302
MEM 52.566406 1508479048.6303
MEM 52.566406 1508479048.7303
MEM 52.566406 1508479048.8305
MEM 52.566406 1508479048.9314
MEM 52.566406 1508479049.0318
MEM 52.566406 1508479049.1318
MEM 52.566406 1508479049.2323
MEM 52.566406 1508479049.3324
MEM 52.566406 1508479049.4327
MEM 52.566406 1508479049.5331
MEM 52.566406 1508479049.6332
MEM 52.566406 1508479049.7332
MEM 52.566406 1508479049.8333
MEM 52.566406 1508479049.9335
MEM 52.566406 1508479050.0343
MEM 52.566406 1508479050.1353
MEM 52.566406 1508479050.2353
MEM 52.566406 1508479050.3363
MEM 52.566406 1508479050.4367
MEM 52.566406 1508479050.5373
MEM 52.566406 1508479050.6383
MEM 52.566406 1508479050.7393
MEM 52.566406 1508479050.8396
MEM 52.566406 1508479050.9403
MEM 52.566406 1508479051.0413
MEM 52.566406 1508479051.1413
MEM 52.566406 1508479051.2423
MEM 52.566406 1508479051.3423
MEM 52.566406 1508479051.4433
MEM 52.566406 1508479051.5433
MEM 52.566406 1508479051.6443
MEM 52.566406 1508479051.7443
MEM 52.566406 1508479051.8447
MEM 52.566406 1508479051.9453
MEM 52.566406 1508479052.0463
MEM 52.566406 1508479052.1473
MEM 52.566406 1508479052.2480
MEM 52.566406 1508479052.3483
MEM 52.566406 1508479052.4490
MEM 52.566406 1508479052.5495
MEM 52.566406 1508479052.6500
MEM 52.566406 1508479052.7510
MEM 52.566406 1508479052.8510
MEM 52.566406 1508479052.9520
