CMDLINE C:\Users\Joe\AppData\Local\Programs\Python\Python36-32\python.exe lab5.py
MEM 52.566406 1508479053.0530
MEM 52.566406 1508479053.1533
MEM 52.566406 1508479053.2537
MEM 52.566406 1508479053.3541
MEM 52.566406 1508479053.4547
MEM 52.566406 1508479053.5551
MEM 52.566406 1508479053.6554
MEM 52.566406 1508479053.7558
MEM 52.566406 1508479053.8560
MEM 52.566406 1508479053.9563
MEM 52.566406 1508479054.0573
MEM 52.566406 1508479054.1573
MEM 52.566406 1508479054.2577
MEM 52.566406 1508479054.3586
MEM 52.566406 1508479054.4587
MEM 52.566406 1508479054.5596
MEM 52.566406 1508479054.6603
MEM 52.566406 1508479054.7608
MEM 52.566406 1508479054.8611
MEM 52.566406 1508479054.9618
MEM 52.566406 1508479055.0625
MEM 52.566406 1508479055.1634
MEM 52.566406 1508479055.2637
MEM 52.566406 1508479055.3646
MEM 52.566406 1508479055.4651
MEM 52.566406 1508479055.5654
MEM 52.566406 1508479055.6658
MEM 52.566406 1508479055.7663
MEM 52.566406 1508479055.8670
MEM 52.566406 1508479055.9680
MEM 52.566406 1508479056.0680
MEM 52.566406 1508479056.1683
MEM 52.566406 1508479056.2693
MEM 52.566406 1508479056.3700
MEM 52.566406 1508479056.4704
MEM 52.566406 1508479056.5704
MEM 52.566406 1508479056.6704
MEM 52.566406 1508479056.7713
MEM 52.566406 1508479056.8714
MEM 52.566406 1508479056.9717
MEM 52.566406 1508479057.0722
MEM 52.566406 1508479057.1724
MEM 52.566406 1508479057.2726
MEM 52.566406 1508479057.3733
MEM 52.566406 1508479057.4737
MEM 52.566406 1508479057.5745
MEM 52.566406 1508479057.6753
MEM 52.566406 1508479057.7760
MEM 52.566406 1508479057.8764
MEM 52.566406 1508479057.9770
MEM 52.566406 1508479058.0774
MEM 52.566406 1508479058.1784
MEM 52.566406 1508479058.2794
MEM 52.566406 1508479058.3794
MEM 52.742188 1508479058.4799
MEM 52.742188 1508479058.5809
MEM 52.742188 1508479058.6812
MEM 52.742188 1508479058.7812
MEM 52.742188 1508479058.8822
MEM 52.742188 1508479058.9832
MEM 52.742188 1508479059.0842
MEM 52.742188 1508479059.1842
MEM 52.742188 1508479059.2852
MEM 52.742188 1508479059.3862
MEM 52.742188 1508479059.4872
MEM 52.742188 1508479059.5902
MEM 52.742188 1508479059.6955
MEM 52.742188 1508479059.7958
MEM 52.742188 1508479059.8959
MEM 52.742188 1508479059.9961
MEM 52.742188 1508479060.0964
MEM 52.742188 1508479060.1966
MEM 52.742188 1508479060.2966
MEM 52.742188 1508479060.3969
MEM 52.742188 1508479060.4978
MEM 52.742188 1508479060.5984
MEM 52.742188 1508479060.6990
MEM 52.742188 1508479060.7998
MEM 52.742188 1508479060.9003
MEM 52.742188 1508479061.0005
MEM 52.746094 1508479061.1006
MEM 52.746094 1508479061.2016
MEM 52.746094 1508479061.3026
MEM 52.746094 1508479061.4026
MEM 52.746094 1508479061.5026
MEM 52.746094 1508479061.6036
MEM 52.746094 1508479061.7036
MEM 52.746094 1508479061.8056
MEM 52.746094 1508479061.9056
MEM 52.746094 1508479062.0066
MEM 52.746094 1508479062.1066
MEM 52.746094 1508479062.2076
MEM 52.746094 1508479062.3086
MEM 52.746094 1508479062.4086
MEM 52.746094 1508479062.5087
MEM 52.746094 1508479062.6097
MEM 52.746094 1508479062.7100
MEM 52.746094 1508479062.8103
MEM 52.746094 1508479062.9107
MEM 52.746094 1508479063.0112
MEM 52.746094 1508479063.1120
MEM 52.746094 1508479063.2120
MEM 52.746094 1508479063.3120
MEM 52.746094 1508479063.4129
MEM 52.746094 1508479063.5138
MEM 52.746094 1508479063.6140
MEM 52.746094 1508479063.7140
MEM 53.320312 1508479063.8142
MEM 53.988281 1508479063.9149
MEM 54.023438 1508479064.0153
MEM 55.082031 1508479064.1162
MEM 55.128906 1508479064.2168
MEM 55.128906 1508479064.3174
MEM 55.128906 1508479064.4177
MEM 55.128906 1508479064.5178
MEM 55.128906 1508479064.6183
MEM 55.128906 1508479064.7191
MEM 55.128906 1508479064.8197
MEM 55.128906 1508479064.9203
MEM 55.128906 1508479065.0207
MEM 55.128906 1508479065.1209
MEM 55.128906 1508479065.2218
MEM 55.128906 1508479065.3218
MEM 51.843750 1508479065.4219
